X,Y
49.100,2.090
49.515,2.088
49.930,2.085
50.346,2.083
50.761,2.080
51.176,2.078
51.591,2.075
52.007,2.073
52.422,2.070
52.837,2.068
53.252,2.066
53.667,2.063
54.083,2.061
54.498,2.058
54.913,2.056
55.328,2.053
55.743,2.051
55.843,2.052
55.751,2.054
55.660,2.056
55.568,2.059
55.477,2.061
55.385,2.064
55.293,2.066
55.202,2.069
55.110,2.071
55.019,2.074
54.927,2.076
54.835,2.078
54.744,2.081
54.652,2.083
54.561,2.086
54.469,2.088
54.457,2.090
54.689,2.090
54.921,2.090
55.153,2.090
55.385,2.090
55.617,2.090
55.849,2.090
56.081,2.090
56.313,2.090
56.545,2.090
56.777,2.090
57.009,2.090
57.241,2.090
57.473,2.090
57.706,2.090
57.938,2.090
58.170,2.090
94.122,2.108
135.467,2.128
176.811,2.148
218.156,2.168
259.500,2.188
300.844,2.208
342.189,2.228
383.533,2.249
424.878,2.269
466.222,2.289
507.567,2.309
548.911,2.329
590.256,2.349
631.600,2.369
672.944,2.390
714.289,2.410
734.654,2.411
733.342,2.393
732.029,2.374
730.716,2.356
729.403,2.338
728.090,2.319
726.777,2.301
725.465,2.283
724.152,2.264
722.839,2.246
721.526,2.228
720.213,2.209
718.901,2.191
717.588,2.173
716.275,2.155
714.962,2.136
713.741,2.121
713.228,2.125
712.715,2.130
712.202,2.135
711.689,2.140
711.177,2.145
710.664,2.150
710.151,2.155
709.638,2.160
709.125,2.165
708.612,2.169
708.099,2.174
707.586,2.179
707.073,2.184
706.560,2.189
706.047,2.194
705.535,2.199
705.693,2.200
706.090,2.200
706.487,2.200
706.883,2.200
707.280,2.200
707.677,2.200
708.074,2.200
708.471,2.200
708.868,2.200
709.265,2.200
709.662,2.200
710.059,2.200
710.456,2.200
710.852,2.200
711.249,2.200
711.646,2.200
712.114,2.197
712.706,2.190
713.298,2.183
713.890,2.175
714.483,2.168
715.075,2.161
715.667,2.153
716.260,2.146
716.852,2.139
717.444,2.131
718.037,2.124
718.629,2.117
719.221,2.109
719.813,2.102
720.406,2.095
720.998,2.087
721.590,2.080
721.041,2.084
720.474,2.087
719.906,2.091
719.338,2.095
718.770,2.098
718.202,2.102
717.634,2.106
717.066,2.109
716.498,2.113
715.931,2.117
715.363,2.120
714.795,2.124
714.227,2.128
713.659,2.131
713.091,2.135
712.523,2.139
714.730,2.143
718.735,2.148
722.741,2.153
726.746,2.158
730.752,2.163
734.758,2.167
738.763,2.172
742.769,2.177
746.774,2.182
750.780,2.187
754.786,2.192
758.791,2.197
762.797,2.202
766.803,2.206
770.808,2.211
774.814,2.216
777.297,2.219
774.672,2.213
772.046,2.208
769.421,2.202
766.795,2.197
764.169,2.191
761.544,2.186
758.918,2.180
756.292,2.175
753.667,2.169
751.041,2.164
748.416,2.158
745.790,2.153
743.164,2.147
740.539,2.142
737.913,2.136
735.287,2.131
735.920,2.129
737.117,2.129
738.314,2.128
739.511,2.128
740.707,2.127
741.904,2.126
743.101,2.126
744.298,2.125
745.495,2.125
746.691,2.124
747.888,2.123
749.085,2.123
750.282,2.122
751.479,2.122
752.675,2.121
753.872,2.120
754.874,2.121
755.662,2.125
756.450,2.128
757.238,2.131
758.025,2.134
758.813,2.137
759.601,2.140
760.388,2.143
761.176,2.146
761.964,2.149
762.751,2.152
763.539,2.155
764.327,2.158
765.114,2.161
765.902,2.164
766.690,2.167
766.888,2.171
761.686,2.186
756.483,2.201
751.281,2.215
746.079,2.230
740.876,2.245
735.674,2.259
730.471,2.274
725.269,2.289
720.067,2.303
714.864,2.318
709.662,2.333
704.459,2.347
699.257,2.362
694.055,2.377
688.852,2.391
683.650,2.406
684.490,2.400
687.665,2.386
690.841,2.372
694.016,2.358
697.191,2.344
700.366,2.330
703.541,2.316
706.717,2.302
709.892,2.288
713.067,2.273
716.242,2.259
719.417,2.245
722.592,2.231
725.768,2.217
728.943,2.203
732.118,2.189
733.479,2.180
731.385,2.180
729.290,2.180
727.196,2.180
725.101,2.180
723.007,2.180
720.913,2.180
718.818,2.180
716.724,2.180
714.629,2.180
712.535,2.180
710.441,2.180
708.346,2.180
706.252,2.180
704.157,2.180
702.063,2.180
699.969,2.180
699.546,2.181
699.179,2.181
698.813,2.182
698.447,2.182
698.080,2.183
697.714,2.184
697.347,2.184
696.981,2.185
696.615,2.185
696.248,2.186
695.882,2.187
695.516,2.187
695.149,2.188
694.783,2.189
694.417,2.189
694.050,2.190
693.767,2.191
693.541,2.193
693.315,2.195
693.089,2.197
692.863,2.198
692.637,2.200
692.411,2.202
692.185,2.204
691.959,2.206
691.733,2.208
691.507,2.209
691.281,2.211
691.056,2.213
690.830,2.215
690.604,2.217
690.378,2.219
690.316,2.220
690.859,2.219
691.403,2.217
691.946,2.216
692.490,2.215
693.033,2.214
693.576,2.212
694.120,2.211
694.663,2.210
695.207,2.209
695.750,2.208
696.294,2.206
696.837,2.205
697.381,2.204
697.924,2.203
698.467,2.201
699.011,2.200
699.662,2.198
700.333,2.196
701.005,2.193
701.677,2.191
702.348,2.188
703.020,2.186
703.692,2.183
704.363,2.181
705.035,2.178
705.707,2.176
706.378,2.174
707.050,2.171
707.722,2.169
708.393,2.166
709.065,2.164
709.737,2.161
709.475,2.162
708.113,2.167
706.752,2.172
705.390,2.177
704.028,2.182
702.667,2.187
701.305,2.192
699.943,2.196
698.582,2.201
697.220,2.206
695.858,2.211
694.497,2.216
693.135,2.221
691.773,2.226
690.412,2.231
689.050,2.236
687.907,2.241
689.214,2.247
690.521,2.254
691.827,2.261
693.134,2.267
694.441,2.274
695.747,2.281
697.054,2.288
698.361,2.294
699.667,2.301
700.974,2.308
702.281,2.314
703.588,2.321
704.894,2.328
706.201,2.335
707.508,2.341
708.814,2.348
708.072,2.341
706.472,2.328
704.873,2.315
703.273,2.302
701.673,2.290
700.073,2.277
698.473,2.264
696.874,2.251
695.274,2.238
693.674,2.226
692.074,2.213
690.474,2.200
688.875,2.187
687.275,2.174
685.675,2.161
684.075,2.149
680.928,2.138
674.608,2.134
668.288,2.129
661.968,2.124
655.649,2.119
649.329,2.114
643.009,2.109
636.689,2.104
630.369,2.099
624.050,2.094
617.730,2.090
611.410,2.085
605.090,2.080
598.770,2.075
592.450,2.070
586.131,2.065
579.811,2.060
574.101,2.061
568.422,2.061
562.743,2.062
557.065,2.062
551.386,2.063
545.707,2.064
540.029,2.064
534.350,2.065
528.671,2.065
522.992,2.066
517.314,2.067
511.635,2.067
505.956,2.068
500.278,2.069
